,RK,Country,Points,Date Rating
143,143,Solomon Islands,1072.0,16.08.2018
144,145,Afghanistan,1068.0,16.08.2018
145,146,Guatemala,1064.0,16.08.2018
146,146,Lesotho,1064.0,16.08.2018
147,148,Burundi,1056.0,16.08.2018
148,149,Comoros,1052.0,16.08.2018
149,150,Maldives,1048.0,16.08.2018
150,151,Ethiopia,1044.0,16.08.2018
151,152,Dominican Republic,1040.0,16.08.2018
152,153,Suriname,1036.0,16.08.2018
153,154,New Caledonia,1032.0,16.08.2018
154,155,Mauritius,1028.0,16.08.2018
155,156,South Sudan,1024.0,16.08.2018
156,157,Tahiti,1020.0,16.08.2018
157,158,Liberia,1016.0,16.08.2018
158,159,Kuwait,1012.0,16.08.2018
159,160,Barbados,1005.0,16.08.2018
160,161,Nepal,1004.0,16.08.2018
161,162,Vanuatu,1000.0,16.08.2018
162,163,Belize,999.0,16.08.2018
163,164,Indonesia,992.0,16.08.2018
164,165,Fiji,985.0,16.08.2018
165,166,Papua New Guinea,984.0,16.08.2018
166,166,Cambodia,984.0,16.08.2018
167,168,Grenada,980.0,16.08.2018
168,169,Singapore,976.0,16.08.2018
169,170,St. Lucia,972.0,16.08.2018
170,171,Malaysia,971.0,16.08.2018
171,172,Gambia,964.0,16.08.2018
172,173,Puerto Rico,960.0,16.08.2018
173,173,St. Vincent / Grenadines,960.0,16.08.2018
174,175,Moldova,957.0,16.08.2018
175,176,Chad,956.0,16.08.2018
176,177,Dominica,952.0,16.08.2018
177,178,Bermuda,948.0,16.08.2018
178,178,Laos,948.0,16.08.2018
179,180,Liechtenstein,944.0,16.08.2018
180,181,Cuba,940.0,16.08.2018
181,182,Guyana,936.0,16.08.2018
182,183,Bhutan,932.0,16.08.2018
183,184,Malta,928.0,16.08.2018
184,185,Macau,924.0,16.08.2018
185,186,Sao Tome e Principe,920.0,16.08.2018
186,186,Mongolia,920.0,16.08.2018
187,188,Aruba,916.0,16.08.2018
188,188,Seychelles,916.0,16.08.2018
189,190,Guam,912.0,16.08.2018
190,190,Timor-Leste,912.0,16.08.2018
191,192,Cook Islands,908.0,16.08.2018
192,192,American Samoa,908.0,16.08.2018
193,194,Bangladesh,904.0,16.08.2018
194,195,Gibraltar,900.0,16.08.2018
195,195,Brunei Darussalam,900.0,16.08.2018
196,197,Djibouti,896.0,16.08.2018
197,197,Samoa,896.0,16.08.2018
198,199,US Virgin Islands,892.0,16.08.2018
199,200,Sri Lanka,888.0,16.08.2018
200,201,Pakistan,884.0,16.08.2018
201,202,Cayman Islands,880.0,16.08.2018
202,203,San Marino,876.0,16.08.2018
203,204,Montserrat,872.0,16.08.2018
204,204,British Virgin Islands,872.0,16.08.2018
205,206,Eritrea,868.0,16.08.2018
206,206,Turks and Caicos Islands,868.0,16.08.2018
207,206,Somalia,868.0,16.08.2018
208,206,Anguilla,868.0,16.08.2018
209,206,Bahamas,868.0,16.08.2018
210,206,Tonga,868.0,16.08.2018
0,1,France,1729.0,20.09.2018
1,1,Belgium,1729.0,20.09.2018
2,3,Brazil,1663.0,20.09.2018
3,4,Croatia,1634.0,20.09.2018
4,5,Uruguay,1632.0,20.09.2018
5,6,England,1612.0,20.09.2018
6,7,Portugal,1606.0,20.09.2018
7,8,Switzerland,1598.0,20.09.2018
8,9,Spain,1597.0,20.09.2018
9,10,Denmark,1581.0,20.09.2018
10,11,Argentina,1575.0,20.09.2018
11,12,Chile,1568.0,20.09.2018
12,12,Germany,1568.0,20.09.2018
13,14,Colombia,1567.0,20.09.2018
14,15,Sweden,1550.0,20.09.2018
15,15,Mexico,1550.0,20.09.2018
16,17,Netherlands,1540.0,20.09.2018
17,18,Poland,1537.0,20.09.2018
18,19,Wales,1536.0,20.09.2018
19,20,Italy,1526.0,20.09.2018
20,21,Peru,1525.0,20.09.2018
21,22,USA,1510.0,20.09.2018
22,23,Tunisia,1503.0,20.09.2018
23,24,Austria,1499.0,20.09.2018
24,25,Senegal,1492.0,20.09.2018
25,26,Slovakia,1491.0,20.09.2018
26,27,Romania,1489.0,20.09.2018
27,28,Northern Ireland,1487.0,20.09.2018
28,29,Ukraine,1483.0,20.09.2018
29,30,Republic of Ireland,1478.0,20.09.2018
30,31,Paraguay,1477.0,20.09.2018
31,32,Venezuela,1476.0,20.09.2018
32,33,IR Iran,1474.0,20.09.2018
33,34,Bosnia and Herzegovina,1468.0,20.09.2018
34,35,Serbia,1463.0,20.09.2018
35,36,Iceland,1461.0,20.09.2018
36,37,Costa Rica,1460.0,20.09.2018
37,38,Turkey,1456.0,20.09.2018
38,39,Scotland,1448.0,20.09.2018
39,40,Congo DR,1447.0,20.09.2018
40,41,Montenegro,1444.0,20.09.2018
41,42,Greece,1433.0,20.09.2018
42,43,Australia,1431.0,20.09.2018
43,44,Bulgaria,1430.0,20.09.2018
44,45,Morocco,1425.0,20.09.2018
45,46,Russia,1423.0,20.09.2018
46,47,Czech Republic,1418.0,20.09.2018
47,48,Nigeria,1415.0,20.09.2018
48,49,Hungary,1409.0,20.09.2018
49,50,Cameroon,1408.0,20.09.2018
50,51,Ghana,1407.0,20.09.2018
51,52,Norway,1405.0,20.09.2018
52,53,Jamaica,1401.0,20.09.2018
53,54,Japan,1398.0,20.09.2018
54,55,Korea Republic,1395.0,20.09.2018
55,56,Burkina Faso,1391.0,20.09.2018
56,57,Albania,1383.0,20.09.2018
57,58,Ecuador,1378.0,20.09.2018
58,58,Finland,1378.0,20.09.2018
59,58,Bolivia,1378.0,20.09.2018
60,61,Slovenia,1376.0,20.09.2018
61,62,Honduras,1368.0,20.09.2018
62,63,Mali,1365.0,20.09.2018
63,64,Egypt,1364.0,20.09.2018
64,65,Guinea,1353.0,20.09.2018
65,66,Côte d'Ivoire,1351.0,20.09.2018
66,67,Cape Verde Islands,1350.0,20.09.2018
67,68,FYR Macedonia,1344.0,20.09.2018
68,69,Algeria,1343.0,20.09.2018
69,70,Panama,1339.0,20.09.2018
70,71,Saudi Arabia,1337.0,20.09.2018
71,72,El Salvador,1332.0,20.09.2018
72,73,South Africa,1325.0,20.09.2018
73,74,Syria,1322.0,20.09.2018
74,75,Zambia,1316.0,20.09.2018
75,76,China PR,1313.0,20.09.2018
76,77,Lebanon,1308.0,20.09.2018
77,77,United Arab Emirates,1308.0,20.09.2018
78,79,Canada,1307.0,20.09.2018
79,80,Belarus,1304.0,20.09.2018
80,81,Curacao,1303.0,20.09.2018
81,82,Luxembourg,1292.0,20.09.2018
82,83,Uganda,1291.0,20.09.2018
83,84,Congo,1289.0,20.09.2018
84,85,Oman,1287.0,20.09.2018
85,86,Cyprus,1283.0,20.09.2018
86,87,Gabon,1274.0,20.09.2018
87,88,Benin,1273.0,20.09.2018
88,89,Iraq,1272.0,20.09.2018
89,90,Trinidad and Tobago,1269.0,20.09.2018
90,91,Kyrgyz Republic,1265.0,20.09.2018
91,92,Faroe Islands,1261.0,20.09.2018
92,93,Georgia,1254.0,20.09.2018
93,94,Qatar,1247.0,20.09.2018
94,94,Israel,1247.0,20.09.2018
95,96,Uzbekistan,1245.0,20.09.2018
96,97,India,1244.0,20.09.2018
97,98,Estonia,1240.0,20.09.2018
98,99,Libya,1226.0,20.09.2018
99,100,Palestine,1225.0,20.09.2018
100,100,Armenia,1225.0,20.09.2018
101,102,Vietnam,1220.0,20.09.2018
102,103,Mauritania,1217.0,20.09.2018
103,104,Haiti,1212.0,20.09.2018
104,105,Niger,1207.0,20.09.2018
105,106,Madagascar,1205.0,20.09.2018
106,107,Kenya,1204.0,20.09.2018
107,108,Azerbaijan,1202.0,20.09.2018
108,109,Korea DPR,1196.0,20.09.2018
109,110,Jordan,1189.0,20.09.2018
110,111,Central African Republic,1187.0,20.09.2018
111,112,Bahrain,1181.0,20.09.2018
112,113,Mozambique,1175.0,20.09.2018
113,114,Sierra Leone,1172.0,20.09.2018
114,114,Philippines,1172.0,20.09.2018
115,116,Namibia,1170.0,20.09.2018
116,117,Zimbabwe,1167.0,20.09.2018
117,118,Kazakhstan,1160.0,20.09.2018
118,119,New Zealand,1157.0,20.09.2018
119,120,Tajikistan,1156.0,20.09.2018
120,121,Guinea-Bissau,1149.0,20.09.2018
121,122,Thailand,1144.0,20.09.2018
122,123,Togo,1139.0,20.09.2018
123,123,Chinese Taipei,1139.0,20.09.2018
124,125,Malawi,1129.0,20.09.2018
125,126,Lithuania,1123.0,20.09.2018
126,127,Antigua and Barbuda,1122.0,20.09.2018
127,128,Andorra,1121.0,20.09.2018
128,128,Nicaragua,1121.0,20.09.2018
129,130,Turkmenistan,1120.0,20.09.2018
130,131,Latvia,1116.0,20.09.2018
131,132,Sudan,1114.0,20.09.2018
132,133,Yemen,1112.0,20.09.2018
133,134,St. Kitts and Nevis,1109.0,20.09.2018
134,135,Angola,1108.0,20.09.2018
135,136,Swaziland,1101.0,20.09.2018
136,137,Rwanda,1093.0,20.09.2018
137,138,Myanmar,1092.0,20.09.2018
138,138,Kosovo,1092.0,20.09.2018
139,140,Tanzania,1089.0,20.09.2018
140,141,Equatorial Guinea,1086.0,20.09.2018
141,142,Botswana,1077.0,20.09.2018
142,143,Hong Kong,1076.0,20.09.2018
143,144,Solomon Islands,1073.0,20.09.2018
144,145,Lesotho,1070.0,20.09.2018
145,146,Afghanistan,1068.0,20.09.2018
146,147,Guatemala,1064.0,20.09.2018
147,148,Burundi,1061.0,20.09.2018
148,149,Ethiopia,1060.0,20.09.2018
149,149,Comoros,1060.0,20.09.2018
150,151,Maldives,1049.0,20.09.2018
151,152,Dominican Republic,1040.0,20.09.2018
152,153,Suriname,1035.0,20.09.2018
153,154,New Caledonia,1032.0,20.09.2018
154,155,Liberia,1023.0,20.09.2018
155,156,Mauritius,1022.0,20.09.2018
156,157,Tahiti,1020.0,20.09.2018
157,158,South Sudan,1019.0,20.09.2018
158,159,Kuwait,1014.0,20.09.2018
159,160,Nepal,1004.0,20.09.2018
160,160,Belize,1004.0,20.09.2018
161,162,Barbados,1003.0,20.09.2018
162,163,Vanuatu,1000.0,20.09.2018
163,164,Indonesia,997.0,20.09.2018
164,165,Papua New Guinea,984.0,20.09.2018
165,166,St. Lucia,982.0,20.09.2018
166,166,Singapore,982.0,20.09.2018
167,168,Fiji,981.0,20.09.2018
168,169,Cambodia,979.0,20.09.2018
169,170,Grenada,976.0,20.09.2018
170,171,Malaysia,972.0,20.09.2018
171,171,Gambia,972.0,20.09.2018
172,173,Moldova,958.0,20.09.2018
173,174,Chad,956.0,20.09.2018
174,175,St. Vincent / Grenadines,955.0,20.09.2018
175,175,Puerto Rico,955.0,20.09.2018
176,177,Dominica,953.0,20.09.2018
177,178,Liechtenstein,947.0,20.09.2018
178,179,Cuba,946.0,20.09.2018
179,179,Laos,946.0,20.09.2018
180,181,Bermuda,940.0,20.09.2018
181,182,Guyana,937.0,20.09.2018
182,183,Malta,928.0,20.09.2018
183,184,Macau,925.0,20.09.2018
184,185,Aruba,924.0,20.09.2018
185,186,Mongolia,922.0,20.09.2018
186,187,Sao Tome e Principe,920.0,20.09.2018
187,188,Bhutan,917.0,20.09.2018
188,189,Seychelles,913.0,20.09.2018
189,190,Timor-Leste,909.0,20.09.2018
190,191,American Samoa,908.0,20.09.2018
191,191,Cook Islands,908.0,20.09.2018
192,193,Bangladesh,907.0,20.09.2018
193,193,Guam,907.0,20.09.2018
194,195,Brunei Darussalam,903.0,20.09.2018
195,196,Samoa,896.0,20.09.2018
196,196,Djibouti,896.0,20.09.2018
197,198,Gibraltar,891.0,20.09.2018
198,199,Pakistan,890.0,20.09.2018
199,199,Sri Lanka,890.0,20.09.2018
200,201,US Virgin Islands,889.0,20.09.2018
201,202,Cayman Islands,878.0,20.09.2018
202,203,British Virgin Islands,872.0,20.09.2018
203,204,San Marino,871.0,20.09.2018
204,205,Montserrat,870.0,20.09.2018
205,206,Tonga,868.0,20.09.2018
206,206,Eritrea,868.0,20.09.2018
207,206,Somalia,868.0,20.09.2018
208,206,Anguilla,868.0,20.09.2018
209,210,Turks and Caicos Islands,862.0,20.09.2018
210,210,Bahamas,862.0,20.09.2018
0,1,Belgium,1733.0,25.10.2018
1,2,France,1732.0,25.10.2018
2,3,Brazil,1669.0,25.10.2018
3,4,Croatia,1635.0,25.10.2018
4,5,England,1619.0,25.10.2018
5,6,Uruguay,1617.0,25.10.2018
6,7,Portugal,1616.0,25.10.2018
7,8,Switzerland,1598.0,25.10.2018
8,9,Spain,1594.0,25.10.2018
9,10,Denmark,1584.0,25.10.2018
10,11,Colombia,1575.0,25.10.2018
11,12,Argentina,1573.0,25.10.2018
12,13,Chile,1568.0,25.10.2018
13,14,Germany,1555.0,25.10.2018
14,15,Netherlands,1550.0,25.10.2018
15,16,Mexico,1549.0,25.10.2018
16,17,Sweden,1548.0,25.10.2018
17,18,Wales,1538.0,25.10.2018
18,19,Italy,1533.0,25.10.2018
19,20,Peru,1530.0,25.10.2018
20,21,Poland,1523.0,25.10.2018
21,22,Tunisia,1515.0,25.10.2018
22,23,USA,1506.0,25.10.2018
23,24,Austria,1502.0,25.10.2018
24,25,Senegal,1501.0,25.10.2018
25,26,Romania,1491.0,25.10.2018
26,27,Ukraine,1490.0,25.10.2018
27,28,Slovakia,1483.0,25.10.2018
28,29,Venezuela,1479.0,25.10.2018
29,30,IR Iran,1478.0,25.10.2018
30,31,Paraguay,1477.0,25.10.2018
31,32,Bosnia and Herzegovina,1476.0,25.10.2018
32,33,Republic of Ireland,1473.0,25.10.2018
33,34,Northern Ireland,1472.0,25.10.2018
34,35,Serbia,1471.0,25.10.2018
35,36,Iceland,1458.0,25.10.2018
36,37,Costa Rica,1452.0,25.10.2018
37,38,Turkey,1449.0,25.10.2018
38,39,Montenegro,1440.0,25.10.2018
39,40,Scotland,1435.0,25.10.2018
40,41,Russia,1433.0,25.10.2018
41,42,Australia,1432.0,25.10.2018
42,42,Greece,1432.0,25.10.2018
43,44,Nigeria,1431.0,25.10.2018
44,45,Bulgaria,1428.0,25.10.2018
45,46,Congo DR,1423.0,25.10.2018
46,47,Morocco,1422.0,25.10.2018
47,48,Czech Republic,1420.0,25.10.2018
48,48,Norway,1420.0,25.10.2018
49,50,Japan,1409.0,25.10.2018
50,51,Cameroon,1408.0,25.10.2018
51,52,Ghana,1407.0,25.10.2018
52,53,Korea Republic,1401.0,25.10.2018
53,53,Jamaica,1401.0,25.10.2018
54,55,Hungary,1400.0,25.10.2018
55,56,Finland,1392.0,25.10.2018
56,57,Burkina Faso,1390.0,25.10.2018
57,58,Egypt,1378.0,25.10.2018
58,59,Bolivia,1376.0,25.10.2018
59,60,Albania,1372.0,25.10.2018
60,61,Ecuador,1371.0,25.10.2018
61,62,Honduras,1367.0,25.10.2018
62,62,Slovenia,1367.0,25.10.2018
63,64,Côte d'Ivoire,1356.0,25.10.2018
64,65,Guinea,1354.0,25.10.2018
65,66,Mali,1352.0,25.10.2018
66,67,Algeria,1339.0,25.10.2018
67,68,Cape Verde Islands,1338.0,25.10.2018
68,68,FYR Macedonia,1338.0,25.10.2018
69,70,El Salvador,1335.0,25.10.2018
70,70,Panama,1335.0,25.10.2018
71,72,Saudi Arabia,1334.0,25.10.2018
72,73,South Africa,1321.0,25.10.2018
73,74,Syria,1320.0,25.10.2018
74,75,China PR,1317.0,25.10.2018
75,76,Canada,1310.0,25.10.2018
76,77,Zambia,1308.0,25.10.2018
77,78,Belarus,1307.0,25.10.2018
78,79,Curacao,1306.0,25.10.2018
79,79,Uganda,1306.0,25.10.2018
80,81,United Arab Emirates,1305.0,25.10.2018
81,82,Lebanon,1300.0,25.10.2018
82,83,Gabon,1288.0,25.10.2018
83,84,Luxembourg,1287.0,25.10.2018
84,84,Oman,1287.0,25.10.2018
85,86,Cyprus,1279.0,25.10.2018
86,87,Congo,1277.0,25.10.2018
87,87,Benin,1277.0,25.10.2018
88,89,Iraq,1270.0,25.10.2018
89,90,Kyrgyz Republic,1268.0,25.10.2018
90,91,Israel,1267.0,25.10.2018
91,92,Georgia,1265.0,25.10.2018
92,93,Trinidad and Tobago,1263.0,25.10.2018
93,94,Uzbekistan,1254.0,25.10.2018
94,95,Faroe Islands,1251.0,25.10.2018
95,96,Qatar,1248.0,25.10.2018
96,97,India,1245.0,25.10.2018
97,98,Estonia,1237.0,25.10.2018
98,99,Palestine,1233.0,25.10.2018
99,100,Madagascar,1224.0,25.10.2018
100,101,Armenia,1222.0,25.10.2018
101,102,Vietnam,1220.0,25.10.2018
102,103,Haiti,1216.0,25.10.2018
103,104,Mauritania,1213.0,25.10.2018
104,105,Libya,1210.0,25.10.2018
105,105,Kenya,1210.0,25.10.2018
106,107,Azerbaijan,1207.0,25.10.2018
107,108,Niger,1195.0,25.10.2018
108,109,Namibia,1192.0,25.10.2018
109,110,Korea DPR,1191.0,25.10.2018
110,110,Zimbabwe,1191.0,25.10.2018
111,112,Jordan,1189.0,25.10.2018
112,113,Bahrain,1182.0,25.10.2018
113,113,Central African Republic,1182.0,25.10.2018
114,115,Sierra Leone,1172.0,25.10.2018
115,116,Philippines,1171.0,25.10.2018
116,117,Kazakhstan,1166.0,25.10.2018
117,118,Tajikistan,1161.0,25.10.2018
118,119,New Zealand,1157.0,25.10.2018
119,119,Guinea-Bissau,1157.0,25.10.2018
120,121,Thailand,1154.0,25.10.2018
121,122,Mozambique,1151.0,25.10.2018
122,123,Togo,1144.0,25.10.2018
123,124,Chinese Taipei,1139.0,25.10.2018
124,125,Malawi,1129.0,25.10.2018
125,126,Antigua and Barbuda,1126.0,25.10.2018
126,127,Nicaragua,1125.0,25.10.2018
127,128,Turkmenistan,1120.0,25.10.2018
128,129,Lithuania,1117.0,25.10.2018
129,130,Angola,1113.0,25.10.2018
130,131,Yemen,1112.0,25.10.2018
131,132,Latvia,1111.0,25.10.2018
132,133,St. Kitts and Nevis,1109.0,25.10.2018
133,133,Andorra,1109.0,25.10.2018
134,135,Sudan,1105.0,25.10.2018
135,136,Tanzania,1101.0,25.10.2018
136,137,Kosovo,1099.0,25.10.2018
137,138,Rwanda,1092.0,25.10.2018
138,139,Swaziland,1088.0,25.10.2018
139,140,Botswana,1081.0,25.10.2018
140,141,Myanmar,1080.0,25.10.2018
141,142,Burundi,1074.0,25.10.2018
142,143,Solomon Islands,1073.0,25.10.2018
143,144,Hong Kong,1071.0,25.10.2018
144,145,Afghanistan,1068.0,25.10.2018
145,146,Equatorial Guinea,1067.0,25.10.2018
146,147,Guatemala,1064.0,25.10.2018
147,148,Comoros,1062.0,25.10.2018
148,149,Lesotho,1055.0,25.10.2018
149,150,Ethiopia,1054.0,25.10.2018
150,151,Maldives,1049.0,25.10.2018
151,152,Dominican Republic,1045.0,25.10.2018
152,153,Suriname,1040.0,25.10.2018
153,154,Liberia,1035.0,25.10.2018
154,155,New Caledonia,1032.0,25.10.2018
155,156,Mauritius,1022.0,25.10.2018
156,157,Kuwait,1020.0,25.10.2018
157,157,Tahiti,1020.0,25.10.2018
158,159,South Sudan,1005.0,25.10.2018
159,160,Indonesia,1004.0,25.10.2018
160,161,Nepal,1001.0,25.10.2018
161,162,Vanuatu,1000.0,25.10.2018
162,162,Barbados,1000.0,25.10.2018
163,164,Belize,995.0,25.10.2018
164,165,Singapore,991.0,25.10.2018
165,166,Papua New Guinea,984.0,25.10.2018
166,167,Fiji,981.0,25.10.2018
167,168,St. Lucia,977.0,25.10.2018
168,169,Malaysia,974.0,25.10.2018
169,170,Cambodia,973.0,25.10.2018
170,171,Moldova,969.0,25.10.2018
171,172,Grenada,968.0,25.10.2018
172,173,Gambia,967.0,25.10.2018
173,174,Chad,956.0,25.10.2018
174,175,St. Vincent / Grenadines,955.0,25.10.2018
175,175,Puerto Rico,955.0,25.10.2018
176,177,Cuba,954.0,25.10.2018
177,178,Dominica,950.0,25.10.2018
178,179,Guyana,943.0,25.10.2018
179,180,Bermuda,940.0,25.10.2018
180,181,Laos,937.0,25.10.2018
181,182,Liechtenstein,936.0,25.10.2018
182,183,Malta,927.0,25.10.2018
183,184,Macau,925.0,25.10.2018
184,185,Aruba,924.0,25.10.2018
185,186,Mongolia,923.0,25.10.2018
186,187,Sao Tome e Principe,920.0,25.10.2018
187,188,Bhutan,917.0,25.10.2018
188,188,Seychelles,917.0,25.10.2018
189,190,Gibraltar,911.0,25.10.2018
190,191,Timor-Leste,910.0,25.10.2018
191,192,Cook Islands,908.0,25.10.2018
192,192,American Samoa,908.0,25.10.2018
193,194,Guam,907.0,25.10.2018
194,194,Bangladesh,907.0,25.10.2018
195,196,Brunei Darussalam,903.0,25.10.2018
196,197,Djibouti,896.0,25.10.2018
197,197,Samoa,896.0,25.10.2018
198,199,Pakistan,890.0,25.10.2018
199,200,US Virgin Islands,887.0,25.10.2018
200,201,Sri Lanka,886.0,25.10.2018
201,202,Montserrat,879.0,25.10.2018
202,203,Cayman Islands,873.0,25.10.2018
203,204,Tonga,868.0,25.10.2018
204,204,Eritrea,868.0,25.10.2018
205,204,Somalia,868.0,25.10.2018
206,207,British Virgin Islands,867.0,25.10.2018
207,208,Anguilla,864.0,25.10.2018
208,209,San Marino,862.0,25.10.2018
209,210,Bahamas,858.0,25.10.2018
210,211,Turks and Caicos Islands,855.0,25.10.2018
0,1,Belgium,1727.0,29.11.2018
1,2,France,1726.0,29.11.2018
2,3,Brazil,1676.0,29.11.2018
3,4,Croatia,1634.0,29.11.2018
4,5,England,1631.0,29.11.2018
5,6,Portugal,1614.0,29.11.2018
6,7,Uruguay,1609.0,29.11.2018
7,8,Switzerland,1599.0,29.11.2018
8,9,Spain,1591.0,29.11.2018
9,10,Denmark,1589.0,29.11.2018
